¿ù,ÀÏ, 1h , 2h , 3h , 4h , 5h , 6h , 7h , 8h , 9h , 10h , 11h , 12h , 13h , 14h , 15h , 16h , 17h , 18h , 19h , 20h , 21h , 22h , 23h , 24h 
2,6,0,0,0,0,0,0,0,0,9.6,98.76,182.4,175.8,193.92,272.4,182.4,134.16,96.96,34.44,0,0,0,0,0,0
2,7,0,0,0,0,0,0,0,2.16,56.76,233.04,314.52,568.2,662.28,356.64,214.92,175.92,92.64,25.8,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,60,337.56,1063.44,1184.88,1263.72,1184.04,826.2,467.52,267.24,72,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0,1.2,77.04,580.92,1028.04,1087.92,1160.28,1249.92,1117.08,866.64,475.92,91.32,0.12,0,0,0,0,0
2,10,0,0,0,0,0,0,0,9.24,143.4,649.08,973.2,1134.48,1167.36,950.4,584.76,278.16,170.76,50.16,0.24,0,0,0,0,0
2,11,0,0,0,0,0,0,0,9.48,215.64,701.88,1069.8,1261.44,1322.52,1323.96,1210.68,966.24,535.56,104.28,0.36,0,0,0,0,0
2,12,0,0,0,0,0,0,0,0,5.16,13.8,6.24,25.92,82.44,283.56,273.96,278.4,248.04,13.56,0,0,0,0,0,0
2,13,0,0,0,0,0,0,0,12,267.96,787.2,1065.24,1250.4,1165.44,798.24,948.48,728.28,457.56,95.16,0.84,0,0,0,0,0
2,14,0,0,0,0,0,0,0,9.24,244.56,707.16,828.6,582.48,683.16,759.6,561.84,328.56,161.16,20.4,0,0,0,0,0,0
2,15,0,0,0,0,0,0,0,10.08,138.6,414.12,592.92,897.36,1090.56,1199.64,1190.4,1006.56,659.16,156.48,2.04,0,0,0,0,0
2,16,0,0,0,0,0,0,0,16.56,360.72,833.64,1126.44,1273.68,1338.84,1327.44,1175.28,885,484.2,98.4,3.6,0,0,0,0,0
2,17,0,0,0,0,0,0,0,0,5.76,18.72,69.72,67.08,54.24,82.8,22.68,22.44,6.48,0,0,0,0,0,0,0
2,18,0,0,0,0,0,0,0,0,18.12,23.88,49.68,133.56,322.92,183.84,169.92,174.84,79.44,43.2,0,0,0,0,0,0
2,19,0,0,0,0,0,0,0,3.96,70.92,266.28,516.72,563.16,945.96,975.96,772.32,706.68,466.2,128.16,1.68,0,0,0,0,0
2,20,0,0,0,0,0,0,0,17.28,264.48,855.96,1172.4,1358.88,1415.04,1383.36,1245,961.2,572.04,143.52,2.52,0,0,0,0,0
2,21,0,0,0,0,0,0,0,22.2,195.72,551.64,967.8,1132.2,1247.28,1277.88,1200.12,949.8,586.44,166.92,6.24,0,0,0,0,0
2,22,0,0,0,0,0,0,0,19.08,226.08,547.68,814.2,987.36,1100.52,851.52,647.64,532.44,236.04,23.04,0.36,0,0,0,0,0
2,23,0,0,0,0,0,0,0,43.92,445.68,880.56,1167.36,1364.16,1435.8,1420.56,1310.28,1089.84,732.36,272.16,4.32,0,0,0,0,0
2,24,0,0,0,0,0,0,0,34.08,337.92,734.16,1042.08,1222.68,1191.24,1245.36,879.24,343.8,315.72,74.52,2.28,0,0,0,0,0
2,25,0,0,0,0,0,0,0,44.88,369.6,780.24,1066.68,1218,1193.04,1044,1072.08,439.44,423.24,69.72,3.12,0,0,0,0,0
2,26,0,0,0,0,0,0,0,0,6.96,80.52,138.12,210.84,113.4,240.48,92.4,185.16,126.12,43.44,1.32,0,0,0,0,0
2,27,0,0,0,0,0,0,0,7.44,122.76,693.24,1020.48,1257.24,927.24,852,718.44,917.64,485.16,115.8,1.92,0,0,0,0,0
2,28,0,0,0,0,0,0,0,40.56,320.64,726.72,1004.28,1182,1271.88,1233.84,1061.64,816.36,267.24,89.16,2.64,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,14.28,198.72,461.28,513,746.76,795.36,628.68,287.04,277.32,79.32,5.76,0,0,0,0,0
3,2,0,0,0,0,0,0,0,5.4,139.92,395.04,882.12,868.92,1247.28,1375.92,1264.44,1038,692.16,222.6,8.52,0,0,0,0,0
3,3,0,0,0,0,0,0,0,37.56,417.12,869.16,1143.12,1311.24,1305.12,1364.28,1294.2,1066.2,683.28,247.56,9.48,0,0,0,0,0
3,4,0,0,0,0,0,0,0,37.56,193.32,419.4,721.8,994.8,1089.48,1080.24,933,675,384.6,124.56,6.96,0,0,0,0,0
3,5,0,0,0,0,0,0,0,42.96,190.44,676.32,1029.48,1238.64,1305,1303.44,1204.44,1008.12,713.52,298.56,16.68,0,0,0,0,0
3,6,0,0,0,0,0,0,0,51.12,333.48,679.44,936.36,1110.72,1161.84,1144.8,1023.84,822.36,514.8,180.96,7.92,0,0,0,0,0
3,7,0,0,0,0,0,0,0,13.92,124.2,172.44,85.56,144.84,907.8,490.8,624.12,645.24,425.88,165.84,9.12,0,0,0,0,0
3,8,0,0,0,0,0,0,0,40.44,184.8,375.48,681.72,915.84,957.12,938.28,819.84,583.8,324.84,119.76,8.16,0,0,0,0,0
3,9,0,0,0,0,0,0,0,46.2,298.8,609.84,813.36,955.08,1083.48,1104.24,989.16,786.6,475.44,166.2,11.64,0,0,0,0,0
3,10,0,0,0,0,0,0,0,40.68,234.48,613.68,1071.96,1374.96,1452,1428.96,1305.36,1067.4,680.16,280.56,22.32,0,0,0,0,0
3,11,0,0,0,0,0,0,0,105.48,499.92,879.12,1113.84,1238.16,1273.56,1239.24,1108.8,902.16,588.48,231.96,16.44,0,0,0,0,0
3,12,0,0,0,0,0,0,0,71.76,337.2,684.6,945.6,1071.84,1121.16,1087.08,909.6,548.52,435.12,103.92,11.16,0,0,0,0,0
3,13,0,0,0,0,0,0,0,1.8,43.56,93.48,131.76,119.52,153.24,304.68,286.8,231.72,214.44,128.16,13.68,0,0,0,0,0
3,14,0,0,0,0,0,0,0,10.8,54.6,185.4,497.16,1262.52,1296.84,1196.16,1019.04,967.32,651.72,275.64,21.48,0,0,0,0,0
3,15,0,0,0,0,0,0,0,37.56,254.28,690.6,1095.48,1247.76,1303.44,1278.84,1172.4,837,509.28,181.92,15.36,0,0,0,0,0
3,16,0,0,0,0,0,0,0.12,87.36,458.64,826.2,1086,1218.24,1279.08,1234.08,1106.04,821.4,475.56,180.96,17.64,0,0,0,0,0
3,17,0,0,0,0,0,0,0,82.44,269.04,536.52,405,349.08,688.08,367.56,124.92,41.88,57.96,21.24,0,0,0,0,0,0
3,18,0,0,0,0,0,0,0,18,78.48,141.84,181.56,443.04,508.56,548.88,766.92,431.28,334.08,177,20.52,0,0,0,0,0
3,19,0,0,0,0,0,0,0.12,68.76,307.2,602.76,820.56,977.16,892.8,720.96,496.32,340.32,177.6,64.32,4.68,0,0,0,0,0
3,20,0,0,0,0,0,0,0,35.52,72.48,79.56,115.8,242.52,331.44,833.04,642.48,440.4,513,307.8,27.12,0,0,0,0,0
3,21,0,0,0,0,0,0,2.52,148.32,556.08,933.72,1171.68,1284.96,1359.48,1332.24,1227.48,1008,690.84,295.08,29.88,0,0,0,0,0
3,22,0,0,0,0,0,0,3.72,123.84,326.76,302.88,292.92,381.6,371.88,481.2,814.68,338.16,427.92,191.16,19.44,0,0,0,0,0
3,23,0,0,0,0,0,0,0.12,64.8,414.84,553.56,1125.96,1260.48,1314.96,1201.8,740.28,621.72,398.76,148.56,16.08,0,0,0,0,0
3,24,0,0,0,0,0,0,1.92,69.24,221.52,391.56,518.88,492.84,449.76,467.88,361.92,299.16,360.36,86.28,6.6,0,0,0,0,0
3,25,0,0,0,0,0,0,2.52,88.08,340.08,626.88,781.68,778.32,915.84,946.56,867.12,710.88,452.52,138.24,14.16,0,0,0,0,0
